key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerEquivalentHalfTurns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0007629579999957059,0.8337859910002408,26.6792075379999,0.015611656000146468,27.538532008999937
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,5.987535,1.699338,0.106638,4.181558,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.01211557599981461,0.4283356930000082,40.564561680000224,0.026716983999904187,41.04125340399969
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,92,1,SUCCESS,SWITCHBACK-k1-p+20-CW-s50-g0.100,SWITCHBACK,22,21,28,LONGHOLE_OPEN_STOPING,21,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4580.250704,455.751979,0.1,20.0,5204.680506,0.019833,28,28.914892,0.968427,8.545677,2.31209,0.0,6.233587,39.405489,,98.917953,0,0.0,0.0,1110.753459,100.649929,0.119698,20.0,30.0,22.893022,0.0007183599996096746,0.34121694799978286,26.935725059000106,0.021960801999739488,27.30679341699988
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,56,,10.771055,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.006156195000130538,0.530701266000051,23.904461379000168,,24.44823620299985
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,57,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008443870001428877,0.5960397509998074,5.827666029999818,,6.432503048000399
CUT_AND_FILL,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,CUT_AND_FILL,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0006620690001000185,0.4782813219999298,25.91298298999982,0.015539091999926313,26.416824029000054
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,7.794866,2.265915,0.106638,5.422313,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.011442854000051739,0.5081265960002384,39.905063130000144,0.026529697000114538,40.46102542300014
