key,seed,contract.realized,contract.shapeModelVersion,contract.planformConnectedComponents,contract.latticeShape,contract.meshVertices,contract.meshTriangles,contract.meshWatertight,contract.meshOutward,contract.meshInsideBbox,contract.clearanceSignAgreesWithContains,metric.nominalLength,metric.nominalHeight,metric.nominalThickness,metric.warpAmplitude,metric.thicknessVariability,metric.pinchFloorRatio,metric.volumeM3,metric.minInteriorThickness,metric.maxInteriorThickness,metric.midSurfaceRange,metric.meshVolumeRelError,metric.scenePayloadBytes,metric.containsPointsPerSecond,runtime.realize,runtime.world,runtime.clearance,runtime.mesh,runtime.scene,runtime.total
RANDOM_WARPED_VEIN-301,301,True,1,1,"[139, 96, 69]",21587,43170,True,True,True,True,477.24636932980843,360.4367731055148,14.298949217841729,29.296604656864044,0.46564961551460105,0.3511152906459118,2042415.170959336,9.99213029535864,17.0130656360458,30.463499971962833,0.0046163597574706535,2012220,885473.5285485148,0.008987435999870286,0.48506360200008203,0.17480481799998415,0.03788943900008235,0.14486952600009317,1.6624284949998582
RANDOM_WARPED_VEIN-302,302,True,1,1,"[151, 72, 46]",13118,26232,True,True,True,True,458.23399469953563,244.25538545039691,19.74887541343949,12.893719240872366,0.25546023598348006,0.4545181505096715,1428828.613561859,11.65973855080767,20.916268696327954,17.12544312513151,0.0039820955100198134,1441260,874671.9400751565,0.005660661000092659,0.18401378799990198,0.07871142900012273,0.020616169999811973,0.12569933100007802,1.1774519730001884
RANDOM_WARPED_VEIN-303,303,True,1,1,"[200, 94, 47]",19356,38708,True,True,True,True,618.2387360064072,318.9949411124578,14.262275459153303,16.09363068000341,0.4214698216902826,0.45165022821131773,1936628.6716583152,9.34788492053368,16.678209514700644,14.267223316752865,0.005292447579322655,1861202,977548.3861863425,0.006398679000085394,0.16835689900017314,0.14486325799998667,0.02664524000010715,0.16416521799988004,1.2462320080001064
RANDOM_WARPED_VEIN-304,304,True,1,1,"[172, 94, 47]",21863,43722,True,True,True,True,538.6393759361061,324.9800069297384,18.903171963149216,13.883482748014792,0.25112309031020164,0.4342973082434658,2472716.5642228746,13.603127086187161,19.527946018627063,22.420507481199337,0.003434407525370899,2034093,1004199.4516452241,0.006072509999967224,0.1852368380000371,0.14018368300003203,0.034437681999861525,0.18030537300001015,1.3075835229999484
RANDOM_WARPED_VEIN-305,305,True,1,1,"[154, 78, 66]",23858,47712,True,True,True,True,532.1633604340576,312.23364035484894,24.18438867489172,19.902986974872558,0.46408158345615935,0.4770201160089699,3079201.617701251,15.681542222491366,29.989526396474904,27.77751398320021,0.002578021432920663,2176635,894687.3488487668,0.00569987900007618,0.2272277730000951,0.1475700630001029,0.03552192000006471,0.13161314900003163,1.3718702660000872
RANDOM_WARPED_VEIN-306,306,True,1,1,"[148, 77, 59]",18423,36842,True,True,True,True,484.2722476959345,286.72636032094385,18.74141657622203,19.600929272103958,0.4743880386688111,0.48748251895433325,1939425.277030939,11.716684155695724,21.842219541069376,27.660802156832162,0.0036657559660675165,1798262,957449.8670534724,0.005335273999889978,0.21393283499992322,0.12687797500007036,0.03011080300007052,0.1282407459998467,1.2583924289999686
RANDOM_WARPED_VEIN-307,307,True,1,1,"[115, 57, 33]",9916,19828,True,True,True,True,391.35662266941233,218.66754567531626,8.90481894818751,10.310461787118372,0.49527553614842984,0.36633507978510704,544041.585432041,4.269219750721258,9.841128847478526,13.191559008570433,0.015687968501866167,1212212,907254.1252770625,0.003982081000003745,0.1962705079999978,0.03217073900009382,0.01313967800001592,0.0711312230000658,1.0241385249998984
RANDOM_WARPED_VEIN-308,308,True,1,1,"[162, 79, 46]",16714,33424,True,True,True,True,521.9819326377544,280.43972286841733,21.620073851532446,9.268878555433648,0.45744079761035444,0.4814497471806788,2097982.2034723447,11.337743272019175,21.901792709445722,8.235517728744101,0.0033001822792626933,1680937,878840.2157997768,0.00884912800006532,0.1835876800000733,0.10716816600006496,0.02441780600020138,0.12931144300000597,1.2477258930000517
RANDOM_WARPED_VEIN-309,309,True,1,1,"[125, 62, 45]",9614,19224,True,True,True,True,400.33015198699206,218.43797307478422,9.207800903571766,18.321196482972784,0.41563346268706347,0.42069449309335194,583740.6718997449,5.500799034329758,10.53195961458251,11.66355683059395,0.014138059183098144,1199593,922348.6751595339,0.004226165000090987,0.24626439500002562,0.04578753400005553,0.012612585000169929,0.07695698099996662,1.070358011000053
RANDOM_WARPED_VEIN-310,310,True,1,1,"[123, 96, 60]",15196,30388,True,True,True,True,394.60540874422,379.76981060298937,18.069404707147974,20.598958187211178,0.4751820121172947,0.4766341773923132,1705088.3787567357,10.842098210205258,17.951706771565757,11.098339194419577,0.004413052660146178,1582630,1027926.7974678931,0.004902549999997063,0.17488157200000387,0.14176523600008295,0.02630973400005132,0.13121994600010112,1.187462251999932
RANDOM_WARPED_VEIN-311,311,True,1,1,"[136, 100, 73]",22712,45420,True,True,True,True,418.8851437693356,367.58576050583247,19.305228388944876,28.08148735271642,0.46622567757448874,0.32189678671560096,2291308.0808070386,11.759549727253207,23.6830153992376,30.586898225304797,0.0035624191017790854,2091883,890573.5056483066,0.006510120000029929,0.20859209900004316,0.18341875000010077,0.0342751179998686,0.15490452000017285,1.4055879509999158
RANDOM_WARPED_VEIN-312,312,True,1,1,"[119, 88, 52]",14196,28388,True,True,True,True,369.99427297328435,319.5238355492524,20.164892168814475,16.088511675616456,0.3109292615177208,0.47437237567781143,1750248.8508990987,12.772379734116617,24.091979750461533,16.329875304750193,0.0030405220858595334,1509426,1006639.4049519579,0.004766964000054941,0.18369665299996996,0.09710557299990796,0.021449781000001167,0.11749397099993075,1.115119586999981
