key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerEquivalentHalfTurns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201262,1.583567,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.404743,38.2842,0.119835,18.0,30.0,8.108057,0.0007363389999994752,0.7737762189999984,20.833416379,0.011221344000006184,21.626376230000005
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,48,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4448.810287,522.012065,0.12,26.137508,6957.284203,0.027294,1,38.651579,1.0,6.134591,1.752515,0.166748,4.215328,40.717719,46.103247,72.541751,0,0.0,143.544028,580.935898,43.820042,0.11984,18.0,30.0,11.495421,0.010673459999992474,0.4015380319999906,60.78557602500001,0.01807825899999216,61.223436577
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,21,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005645729999912419,0.3838760840000077,21.916557237000006,,22.306330799999984
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,92,11,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,10,9,0,LONGHOLE_OPEN_STOPING,50,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,3711.368859,439.218646,0.12,31.224571,6203.438557,0.029173,1,34.463548,1.0,6.031722,1.795953,0.0,4.235769,55.440636,60.826163,83.034725,0,0.0,0.0,358.421882,40.398261,0.119838,18.0,30.0,9.824654,0.004937646000001905,0.5009755009999992,33.68857207499997,0.013609935999966183,34.21386092800003
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,57,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.000589119999972354,0.5018779729999778,2.6619455169999924,,3.1712847790000183
CUT_AND_FILL,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,CUT_AND_FILL,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201262,1.583567,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.404743,38.2842,0.119835,18.0,30.0,8.108057,0.00048701100001835584,0.5198907849999728,21.372096639999995,0.011631265000005442,21.911582189
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,48,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4448.810287,522.012065,0.12,26.137508,6957.284203,0.027294,1,38.651579,1.0,7.987518,2.35703,0.166748,5.46374,40.717719,46.103247,72.541751,0,0.0,143.544028,580.935898,43.820042,0.11984,18.0,30.0,11.495421,0.008832524000013109,0.4941790610000112,62.132826375000036,0.018306434000010086,62.66186301099998
