key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
RANDOM_TABULAR-106,RANDOM_TABULAR,106,1,TABULAR,True,,SUCCESS,11,50,5,PARTIAL,11,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,1.055930017000719,0.03020666099837399,0.002174817000195617,,,,,,,1.0883387260000745
RANDOM_TABULAR-107,RANDOM_TABULAR,107,2,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,80,81,SUCCESS,171,170,True,SUCCESS,72,SUCCESS,530,3935.5580035597736,8564.231957103595,58544,0.12,18.0,3935.326215416085,17.95116947519436,0.12000000000001808,21,240.37704475728955,1537.940468352043,0.0,2520.0,1690.5176737264565,8145.1804354424685,1035622.7221450869,5.516229910507772,1073.1301207098547,1.1468008769988955,0.0312282579998282,96.8996665959985,29.044702207998853,6.153966817000764,0.16748722500051372,0.765563385999485,0.11087639200013655,0.10909879399878264,134.525466993
RANDOM_TABULAR-108,RANDOM_TABULAR,108,0,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,192,195,SUCCESS,401,400,True,SUCCESS,180,SUCCESS,1300,3846.1926136282395,7114.741084020671,496413,0.12,18.0,3845.818140779254,17.960000000008495,0.12000000000000965,0,0.0,0.0,133.16949379175708,6370.000000000001,4463.578350841162,14678.817413142942,8396897.806265514,5.840439707295468,1149.1023787251438,0.7421742619990255,0.032613380999464425,811.9262103069996,13.424158077999891,6.482195098999,0.3942728840011114,5.487537121000059,0.3503848439995636,0.13749386400013464,839.1547983980017
RANDOM_TABULAR-109,RANDOM_TABULAR,109,3,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,79,81,SUCCESS,170,169,True,SUCCESS,72,SUCCESS,529,3876.329823615817,7514.9875245994635,275093,0.12,18.0,3876.12359345963,17.960000000001937,0.12000000000001664,9,86.82863222552935,581.9622005309235,73.21752111441828,2520.0,1708.5724525178669,8104.099135809527,3895111.308129123,2.957110199171113,1147.9616334672241,1.3988149229990086,0.03013690400075575,437.77608435,27.68196708100004,6.022392042003048,0.15481022200037842,0.7648728639978799,0.15597477999835974,0.05495766400053981,474.1318406120008
RANDOM_TABULAR-110,RANDOM_TABULAR,110,2,TABULAR,True,,SUCCESS,10,50,0,PARTIAL,10,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,1.4096480579974013,0.03193164700132911,2039.4683956700028,,,,,,,2040.9100089620006
RANDOM_TABULAR-111,RANDOM_TABULAR,111,1,TABULAR,True,,SUCCESS,11,55,0,SUCCESS,11,11,SUCCESS_WITH_FALLBACK,11,1,SUCCESS,SUCCESS,143,143,SUCCESS,298,297,True,SUCCESS,130,SUCCESS,947,4152.376204921786,10890.590674765699,1404762,0.12,18.0,4152.10571056884,17.950408526318405,0.1200000000000193,25,188.68449605668724,911.6813465803085,0.0,4620.0,2993.3644931206136,11764.8074949272,5707840.883522312,2.758429263867949,1206.63311548083,1.3449633949967392,0.03249822200086783,2257.3110128760018,25.870135884000774,6.205575792999298,0.27005565500076045,2.4736735219994443,0.22688029399796505,0.08618100099920412,2293.958872834999
RANDOM_TABULAR-112,RANDOM_TABULAR,112,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,60,63,SUCCESS,131,130,True,SUCCESS,54,SUCCESS,400,3885.534503328059,7447.202403430012,65461,0.12,18.0,3885.3025940660846,17.96000000000425,0.12000000000000963,0,0.0,0.0,11.124040614813504,1960.0000000000002,1518.431543922043,7363.065489639039,2438950.8319102516,5.094693332611092,1129.7215230634283,1.2220368509988475,0.03197786599776009,109.72210974799964,44.01413106700056,6.02659633499934,0.12651269799971487,0.47125347000110196,0.11493898800108582,0.04992286199922091,161.8697805619995
RANDOM_ELLIPSOID-201,RANDOM_ELLIPSOID,201,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2160293320011988,0.0006618239967792761,,,,,,,,1.216720829001133
RANDOM_ELLIPSOID-202,RANDOM_ELLIPSOID,202,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1630295930008288,0.0009166230011032894,,,,,,,,1.1639850410028885
RANDOM_ELLIPSOID-203,RANDOM_ELLIPSOID,203,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146442291999847,0.0007333129979087971,,,,,,,,1.1472050829979707
RANDOM_ELLIPSOID-204,RANDOM_ELLIPSOID,204,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0047733110004629,0.000656446998618776,,,,,,,,1.0054540659984923
RANDOM_ELLIPSOID-205,RANDOM_ELLIPSOID,205,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0552428959999816,0.0006486650017905049,,,,,,,,1.0559177049981372
