key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerEquivalentHalfTurns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0005437309999933859,0.6325201029999334,15.744959463999976,0.009671393000076023,16.39422786199998
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,5.987535,1.699338,0.106638,4.181558,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.009066168999993351,0.26349183000002085,24.848838979999982,0.01587021700004243,25.144190654
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,92,1,SUCCESS,SWITCHBACK-k1-p+20-CW-s50-g0.100,SWITCHBACK,22,21,28,LONGHOLE_OPEN_STOPING,21,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4580.250704,455.751979,0.1,20.0,5204.680506,0.019833,28,28.914892,0.968427,8.545677,2.31209,0.0,6.233587,39.405489,,98.917953,0,0.0,0.0,1110.753459,100.649929,0.119698,20.0,30.0,22.893022,0.0005462500000703585,0.3573256050000282,16.504075715,0.013380774000097517,16.880043896000075
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,56,,10.771055,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.004552122000177405,0.4803923929998746,14.90011226899992,,15.389370420000205
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,57,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005354669999633188,0.4323448060001738,2.26553137399992,,2.704042243999993
CUT_AND_FILL,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,CUT_AND_FILL,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0005549009999867849,0.4426351749998503,16.00578965999989,0.009253497999907268,16.464876067999967
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,7.794866,2.265915,0.106638,5.422313,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.00816863199997897,0.42239154200001394,24.77870089199996,0.019592536999880394,25.235928535000085
