key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
RANDOM_TABULAR-106,RANDOM_TABULAR,106,1,TABULAR,True,,SUCCESS,11,50,5,PARTIAL,11,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,0.6044803630002207,0.013297337000039988,0.0016361749994757702,,,,,,,0.6194329939999079
RANDOM_TABULAR-107,RANDOM_TABULAR,107,2,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,80,81,SUCCESS,171,170,True,SUCCESS,72,SUCCESS,530,3935.5580035597736,8564.231957103595,58544,0.12,18.0,3935.326215416085,17.95116947519436,0.12000000000001808,21,240.37704475728955,1537.940468352043,0.0,2520.0,1690.5176737264565,8145.1804354424685,1035622.7221450869,5.516229910507772,1073.1301207098547,0.6608922499999608,0.015510655000070983,52.7239680419998,24.12826597700041,3.6616649070001586,0.08689799600051629,0.49157936699975835,0.05563493599947833,0.07253712999954587,81.94308342499971
RANDOM_TABULAR-108,RANDOM_TABULAR,108,0,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,192,195,SUCCESS,401,400,True,SUCCESS,180,SUCCESS,1300,3846.1926136282395,7114.741084020671,496413,0.12,18.0,3845.818140779254,17.960000000008495,0.12000000000000965,0,0.0,0.0,133.16949379175708,6370.000000000001,4463.578350841162,14678.817413142942,8396897.806265514,5.840439707295468,1149.1023787251438,0.5750948699997025,0.018131859000277473,407.904157125,8.551932031999968,3.5179027250005674,0.1922948239998732,2.8826736689998143,0.15416997099964647,0.07188403400050447,423.9492995239998
RANDOM_TABULAR-109,RANDOM_TABULAR,109,3,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,79,81,SUCCESS,170,169,True,SUCCESS,72,SUCCESS,529,3876.329823615817,7514.9875245994635,275093,0.12,18.0,3876.12359345963,17.960000000001937,0.12000000000001664,9,86.82863222552935,581.9622005309235,73.21752111441828,2520.0,1708.5724525178669,8104.099135809527,3895111.308129123,2.957110199171113,1147.9616334672241,0.9513717310001084,0.014007891999426647,242.81526492400008,21.355058717999782,3.5304746799993154,0.07758874099999957,0.48791659800008347,0.07038975100022071,0.03777410400016379,269.38111016699986
RANDOM_TABULAR-110,RANDOM_TABULAR,110,2,TABULAR,True,,SUCCESS,10,50,0,PARTIAL,10,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,0.815189853999982,0.01811656599966227,1129.043711502999,,,,,,,1129.877050064999
RANDOM_TABULAR-111,RANDOM_TABULAR,111,1,TABULAR,True,,SUCCESS,11,55,0,SUCCESS,11,11,SUCCESS_WITH_FALLBACK,11,1,SUCCESS,SUCCESS,143,143,SUCCESS,298,297,True,SUCCESS,130,SUCCESS,947,4152.376204921786,10890.590674765699,1404762,0.12,18.0,4152.10571056884,17.950408526318405,0.1200000000000193,25,188.68449605668724,911.6813465803085,0.0,4620.0,2993.3644931206136,11764.8074949272,5707840.883522312,2.758429263867949,1206.63311548083,0.9839394530008576,0.01885345799928473,1210.649541277,18.651032611998744,3.7318984960002126,0.12585481600035564,1.5443002310003067,0.1236167570004909,0.058615677000489086,1235.9426686470015
RANDOM_TABULAR-112,RANDOM_TABULAR,112,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,60,63,SUCCESS,131,130,True,SUCCESS,54,SUCCESS,400,3885.534503328059,7447.202403430012,65461,0.12,18.0,3885.3025940660846,17.96000000000425,0.12000000000000963,0,0.0,0.0,11.124040614813504,1960.0000000000002,1518.431543922043,7363.065489639039,2438950.8319102516,5.094693332611092,1129.7215230634283,0.820461694000187,0.018375769999693148,59.20890688600048,33.77642466799989,3.712262044000454,0.07387615300103789,0.33679814800052554,0.05923230100052024,0.02877792999970552,98.07500360999984
RANDOM_ELLIPSOID-201,RANDOM_ELLIPSOID,201,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7725042010006291,0.0005880709995835787,,,,,,,,0.773121991998778
RANDOM_ELLIPSOID-202,RANDOM_ELLIPSOID,202,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7733894209995924,0.0007333270004892256,,,,,,,,0.7741509190000215
RANDOM_ELLIPSOID-203,RANDOM_ELLIPSOID,203,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777979743999822,0.000596941999901901,,,,,,,,0.778598658998817
RANDOM_ELLIPSOID-204,RANDOM_ELLIPSOID,204,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7675049879999278,0.0005321299995557638,,,,,,,,0.7680564189995494
RANDOM_ELLIPSOID-205,RANDOM_ELLIPSOID,205,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7833666280002944,0.0005805249984405236,,,,,,,,0.7839695570000913
