key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
RANDOM_TABULAR-106,RANDOM_TABULAR,106,1,TABULAR,True,,SUCCESS,11,50,5,PARTIAL,11,0,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,1.0069331779995991,0.03180006799993862,0.0023690199996053707,,,,,,,1.041130575000352
RANDOM_TABULAR-107,RANDOM_TABULAR,107,2,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,80,81,SUCCESS,171,170,True,SUCCESS,72,SUCCESS,530,3935.5580035597736,8564.231957103595,58544,0.12,18.0,3935.326215416085,17.95116947519436,0.12000000000001808,21,240.37704475728955,1537.940468352043,0.0,2520.0,1690.5176737264565,8145.1804354424685,1035622.7221450869,5.516229910507772,1073.1301207098547,1.106229715000154,0.03761491799923533,99.79289286800122,31.639201650999894,6.475040830999205,0.16997263799930806,0.7778856400000222,0.1099729510006,0.11861843800033967,140.32512511799905
RANDOM_TABULAR-108,RANDOM_TABULAR,108,0,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,192,195,SUCCESS,401,400,True,SUCCESS,180,SUCCESS,1300,3846.1926136282395,7114.741084020671,496413,0.12,18.0,3845.818140779254,17.960000000008495,0.12000000000000965,0,0.0,0.0,133.16949379175708,6370.000000000001,4463.578350841162,14678.817413142942,8396897.806265514,5.840439707295468,1149.1023787251438,0.7759035720009706,0.03301912399911089,779.4870586510006,11.446388361000572,5.81585186600023,0.3512760260000505,4.943237976000091,0.3176833170000464,0.12508087800051726,803.4518968250013
RANDOM_TABULAR-109,RANDOM_TABULAR,109,3,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,79,81,SUCCESS,170,169,True,SUCCESS,72,SUCCESS,529,3876.329823615817,7514.9875245994635,275093,0.12,18.0,3876.12359345963,17.960000000001937,0.12000000000001664,9,86.82863222552935,581.9622005309235,73.21752111441828,2520.0,1708.5724525178669,8104.099135809527,3895111.308129123,2.957110199171113,1147.9616334672241,1.410398203001023,0.03370422899934056,446.1453455209994,29.152712168999642,6.12362800200026,0.16467836099945998,0.7992974009994214,0.14367881100042723,0.05844970100042701,484.1319553230005
RANDOM_TABULAR-110,RANDOM_TABULAR,110,2,TABULAR,True,,SUCCESS,10,50,0,PARTIAL,10,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,1.551473833998898,0.03361941599905549,2092.0769181449996,,,,,,,2093.662047542999
RANDOM_TABULAR-111,RANDOM_TABULAR,111,1,TABULAR,True,,SUCCESS,11,55,0,SUCCESS,11,11,SUCCESS_WITH_FALLBACK,11,1,SUCCESS,SUCCESS,143,143,SUCCESS,298,297,True,SUCCESS,130,SUCCESS,947,4152.376204921786,10890.590674765699,1404762,0.12,18.0,4152.10571056884,17.950408526318405,0.1200000000000193,25,188.68449605668724,911.6813465803085,0.0,4620.0,2993.3644931206136,11764.8074949272,5707840.883522312,2.758429263867949,1206.63311548083,1.2717457889993966,0.033920273001058376,2406.602260972002,27.50161372399816,6.330993802002922,0.2770991409997805,2.5521749330000603,0.2979863770015072,0.09478573799788137,2445.0960100390002
RANDOM_TABULAR-112,RANDOM_TABULAR,112,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,60,63,SUCCESS,131,130,True,SUCCESS,54,SUCCESS,400,3885.534503328059,7447.202403430012,65461,0.12,18.0,3885.3025940660846,17.96000000000425,0.12000000000000963,0,0.0,0.0,11.124040614813504,1960.0000000000002,1518.431543922043,7363.065489639039,2438950.8319102516,5.094693332611092,1129.7215230634283,1.2840357489985763,0.03344073900007061,110.69949404599902,47.936009168002784,6.221255587999622,0.12939062099758303,0.5039441310000257,0.11376880500029074,0.050742981999064796,167.05796067899792
RANDOM_ELLIPSOID-201,RANDOM_ELLIPSOID,201,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0758522040014213,0.0006982100021559745,,,,,,,,1.0765824670015718
RANDOM_ELLIPSOID-202,RANDOM_ELLIPSOID,202,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.060029375999875,0.0007892459980212152,,,,,,,,1.060855273000925
RANDOM_ELLIPSOID-203,RANDOM_ELLIPSOID,203,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0239651709998725,0.0007094060019880999,,,,,,,,1.0247000220006157
RANDOM_ELLIPSOID-204,RANDOM_ELLIPSOID,204,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0612112259987043,0.000688394000462722,,,,,,,,1.061925093003083
RANDOM_ELLIPSOID-205,RANDOM_ELLIPSOID,205,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0350858659985533,0.0008026169998629484,,,,,,,,1.035915725002269
