key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerEquivalentHalfTurns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0005922840000494034,0.8296651999999085,21.06261556499976,0.016390235000017128,21.917922039999667
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,48,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4448.810287,522.012065,0.12,26.137508,6957.284203,0.027294,1,38.651579,1.0,6.134435,1.752359,0.166748,4.215328,40.717719,46.103247,72.541751,0,0.0,143.544028,580.252792,43.759646,0.032059,18.0,30.0,11.446628,0.015364562999820919,0.537926901999981,121.08522230900007,0.02861609599995063,121.68023472300001
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,92,1,SUCCESS,SWITCHBACK-k1-p+20-CW-s50-g0.100,SWITCHBACK,22,21,28,LONGHOLE_OPEN_STOPING,21,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4580.250704,455.751979,0.1,20.0,5204.680506,0.019833,28,28.914892,0.968427,8.545677,2.31209,0.0,6.233587,39.405489,,98.917953,0,0.0,0.0,1110.753459,100.649929,0.119698,20.0,30.0,22.893022,0.004981386000054044,0.8504183919999377,24.862934371999927,0.03823585800000728,25.763070711999717
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,92,11,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,10,9,0,LONGHOLE_OPEN_STOPING,50,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,3711.368859,439.218646,0.12,31.224571,6203.438557,0.029173,1,34.463548,1.0,6.031629,1.79586,0.0,4.235769,55.440636,60.826163,83.034725,0,0.0,0.0,358.079248,40.360636,0.038086,18.0,30.0,9.786583,0.007914084000276489,1.0415501700003915,40.13810271600005,0.01574291200040534,41.209940236999955
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,57,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007302479998543276,0.784859896999933,2.8986185819999264,,3.6923223380003947
CUT_AND_FILL,True,TABULAR,EXACT,13,13,92,12,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,CUT_AND_FILL,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0007608779997099191,0.5867666910003209,19.641704650000065,0.012654028000270046,20.250856139999996
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,10,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,48,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4448.810287,522.012065,0.12,26.137508,6957.284203,0.027294,1,38.651579,1.0,7.987362,2.356874,0.166748,5.46374,40.717719,46.103247,72.541751,0,0.0,143.544028,580.252792,43.759646,0.032059,18.0,30.0,11.446628,0.010030043999904592,0.7469207189997178,84.39970775499978,0.020053311999618018,85.18564685299998
