key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerEquivalentHalfTurns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,92,5,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0008821950000310608,0.7799328160001551,17.89646506100007,0.01741501700007575,18.702891788999978
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,3,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,5.987535,1.699338,0.106638,4.181558,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.015552234000097087,0.3320407769999747,26.239571391000027,0.026133542999787096,26.621823790999997
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,21,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006975250000778033,0.27642978199992285,17.87854524100021,,18.161321759000202
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,56,,10.771055,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.006156322999913755,0.27334587699988333,15.387152031999904,,15.67246795799997
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,92,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,57,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006819579998591507,0.2779333040000438,3.249893036000003,,3.536062837999907
CUT_AND_FILL,True,TABULAR,EXACT,13,13,92,5,SUCCESS,SPIRAL-n1-CW-e+0-g0.120,SPIRAL,14,13,0,CUT_AND_FILL,57,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,3953.997167,455.751979,0.12,30.441506,6188.658461,0.027317,1,34.381436,1.0,5.201173,1.583478,0.0,3.617695,47.041539,,50.445536,0,0.0,0.0,495.065197,38.25679,0.050191,18.0,30.0,8.081938,0.0006323650000013004,0.3223156349999954,19.52462867500003,0.016175764000081472,19.872417581000036
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,92,5,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,51,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,38.308243,1.0,7.794866,2.265915,0.106638,5.422313,37.467662,42.853189,67.98921,0,0.0,89.426291,544.086056,48.914048,0.067409,18.0,30.0,8.86329,0.011996067000154653,0.360305733000132,29.161450165000133,0.02731264299995928,29.569767820999914
