key,preset,seed,faultCount,orebodyType,contract.worldGenerated,contract.worldError,contract.targetsStatus,contract.targetsLevels,contract.targetsValid,contract.targetsRejected,contract.declineStatus,contract.declineLevels,contract.declineCompletedLevels,contract.smoothedStatus,contract.smoothedSegments,contract.smoothedFallbackSegments,contract.tunnelStatus,contract.levelsStatus,contract.levelsDriftPieces,contract.levelsCrosscuts,contract.networkStatus,contract.networkNodes,contract.networkEdges,contract.networkConnected,contract.stopesStatus,contract.stopeCount,contract.timelineStatus,contract.timelineTasks,metric.rawDeclineLength,metric.generalizedCost,metric.expandedStates,metric.maxGradient,metric.minimumRadius,metric.effectiveDeclineLength,metric.effectiveMinPlanRadius,metric.effectiveMaxGradient,metric.faultCrossings,metric.developmentLengthFaultCore,metric.developmentLengthFaultDamage,metric.developmentLengthPoorRock,metric.totalDriftLength,metric.totalCrosscutLength,metric.totalDevelopmentLength,metric.plannedStopeTonnes,metric.gradeProxy,metric.timelineEndDay,runtime.world,runtime.targets,runtime.decline,runtime.smooth,runtime.tunnel,runtime.levels,runtime.network,runtime.stopes,runtime.timeline,runtime.total
RANDOM_TABULAR-107,RANDOM_TABULAR,107,2,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,80,81,SUCCESS,171,170,True,SUCCESS,72,SUCCESS,530,3935.5580035597736,8564.231957103595,58544,0.12,18.0,3935.326215416085,17.95116947519436,0.12000000000001808,21,240.37704475728955,1537.940468352043,0.0,2520.0,1690.5176737264565,8145.1804354424685,1035622.7221450869,5.516229910507772,1073.1301207098547,0.9572916389997772,0.024745654000071227,71.49322438499985,23.48599304400068,5.066455782999583,0.110654815000089,0.576540901000044,0.07974570900023537,0.07916847900014545,101.94089094400078
RANDOM_TABULAR-108,RANDOM_TABULAR,108,0,TABULAR,True,,SUCCESS,13,65,0,SUCCESS,13,13,SUCCESS_WITH_FALLBACK,13,3,SUCCESS,SUCCESS,192,195,SUCCESS,401,400,True,SUCCESS,180,SUCCESS,1300,3846.1926136282395,7114.741084020671,496413,0.12,18.0,3845.818140779254,17.960000000008495,0.12000000000000965,0,0.0,0.0,133.16949379175708,6370.000000000001,4463.578350841162,14678.817413142942,8396897.806265514,5.840439707295468,1149.1023787251438,0.6396758060000138,0.024987593999867386,604.5422702370006,9.776031265999336,5.219395377000183,0.27824265399976866,3.8550931099998706,0.24518000500029302,0.10689665900099499,624.815233287999
RANDOM_TABULAR-109,RANDOM_TABULAR,109,3,TABULAR,True,,SUCCESS,9,45,0,SUCCESS,9,9,SUCCESS,9,0,SUCCESS,SUCCESS,79,81,SUCCESS,170,169,True,SUCCESS,72,SUCCESS,529,3876.329823615817,7514.9875245994635,275093,0.12,18.0,3876.12359345963,17.960000000001937,0.12000000000001664,9,86.82863222552935,581.9622005309235,73.21752111441828,2520.0,1708.5724525178669,8104.099135809527,3895111.308129123,2.957110199171113,1147.9616334672241,1.316831946000093,0.027092352000181563,315.33307850799974,21.803382617999887,4.83106679499906,0.11059705700063205,0.5713703509991319,0.10211976200116624,0.04237800100054301,344.2073167530016
RANDOM_TABULAR-110,RANDOM_TABULAR,110,2,TABULAR,True,,SUCCESS,10,50,0,PARTIAL,10,0,,,,,,,,,,,,,,,,0.0,0.0,1250000,0.0,,,,,,,,,,,,,,,0.952070694998838,0.026344317999246414,1459.3847110860006,,,,,,,1460.3631624170011
RANDOM_TABULAR-111,RANDOM_TABULAR,111,1,TABULAR,True,,SUCCESS,11,55,0,SUCCESS,11,11,SUCCESS_WITH_FALLBACK,11,1,SUCCESS,SUCCESS,143,143,SUCCESS,298,297,True,SUCCESS,130,SUCCESS,947,4152.376204921786,10890.590674765699,1404762,0.12,18.0,4152.10571056884,17.950408526318405,0.1200000000000193,25,188.68449605668724,911.6813465803085,0.0,4620.0,2993.3644931206136,11764.8074949272,5707840.883522312,2.758429263867949,1206.63311548083,1.0461933719998342,0.025114161000601598,1610.1536488010006,19.81293698099944,5.010042689000329,0.19228080999891972,1.858238563998384,0.20842135900056746,0.06944751099945279,1638.4757965959998
RANDOM_TABULAR-112,RANDOM_TABULAR,112,2,TABULAR,True,,SUCCESS,7,35,0,SUCCESS,7,7,SUCCESS,7,0,SUCCESS,SUCCESS,60,63,SUCCESS,131,130,True,SUCCESS,54,SUCCESS,400,3885.534503328059,7447.202403430012,65461,0.12,18.0,3885.3025940660846,17.96000000000425,0.12000000000000963,0,0.0,0.0,11.124040614813504,1960.0000000000002,1518.431543922043,7363.065489639039,2438950.8319102516,5.094693332611092,1129.7215230634283,1.0693725509991054,0.02420145600081014,80.4190590090002,34.86187472600068,4.767318832999081,0.08306266799991135,0.3490752070010785,0.08325831300135178,0.03415702300117118,121.74800204099847
RANDOM_ELLIPSOID-201,RANDOM_ELLIPSOID,201,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0886732309991203,0.0005624069999612402,,,,,,,,1.089257395000459
RANDOM_ELLIPSOID-202,RANDOM_ELLIPSOID,202,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8525329710009828,0.000524401999427937,,,,,,,,0.8530799420004769
RANDOM_ELLIPSOID-203,RANDOM_ELLIPSOID,203,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9142486529999587,0.0005278120006551035,,,,,,,,0.9147933940002986
RANDOM_ELLIPSOID-204,RANDOM_ELLIPSOID,204,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886100431000159,0.0005611630003841128,,,,,,,,0.8866781709984934
RANDOM_ELLIPSOID-205,RANDOM_ELLIPSOID,205,1,ELLIPSOID,True,,UNSUPPORTED_OREBODY_FOR_LEGACY_LAYOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9734431720007706,0.0006173520014272071,,,,,,,,0.9740786809998099
