key,contract.realized,contract.orebodyType,contract.clearanceBasis,contract.requiredLevelCount,contract.serviceableLevelCount,contract.candidateCount,contract.feasibleCount,contract.status,contract.winnerId,contract.winnerFamily,contract.winnerSegments,contract.winnerAccessibleLevels,contract.winnerReversals,contract.miningMethod,contract.cheapFeasibleCount,contract.winnerPreferredAccessSource,metric.clearanceErrorBound,metric.requiredClearance,metric.winnerLength3d,metric.winnerVerticalDrop,metric.winnerMaxGradient,metric.winnerMinPlanRadius,metric.winnerCumulativeHeadingDeg,metric.winnerMeanCurvatureRadPerM,metric.winnerHairpinRuns,metric.winnerTurnConsistency,metric.winnerTotalScore,metric.winnerDevelopment,metric.winnerGeology,metric.winnerGeometry,metric.winnerConservativeClearance,metric.winnerApproximateClearance,metric.winnerMeanAccessDistance,metric.winnerFaultCrossings,metric.winnerLengthFaultCore,metric.winnerLengthPoorRock,metric.winnerTotalAccessLength,metric.winnerWorstAccessLength,metric.winnerMaxAccessGradient,metric.winnerMinAccessPlanRadius,metric.winnerPreferredAccessLength,metric.winnerMeanAbsDeviationFromPreferred,runtime.realize,runtime.world,runtime.search,runtime.materialize,runtime.total
TABULAR-REFERENCE,True,TABULAR,EXACT,13,13,68,2,SUCCESS,SPIRAL-n1-CW-e+0-g0.100,SPIRAL,14,13,0,LONGHOLE_OPEN_STOPING,45,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4661.113165,455.751979,0.1,37.04447,6192.258188,0.023187,1,1.0,3.815695,1.845469,0.0,1.970226,47.028309,,50.320196,0,0.0,0.0,794.107285,98.033669,0.058069,18.0,30.0,31.085176,0.0007214180000119086,0.363889448000009,36.513391512,0.009853953999936493,36.89263131000007
WARPED_VEIN-301,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,68,3,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,39,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,1.0,4.1214,1.748616,0.106638,2.266146,37.467662,42.853189,67.98921,0,0.0,89.426291,759.987466,64.731867,0.073614,18.0,30.0,24.284819,0.023425716000019747,0.5402886449999187,55.11616497099999,0.015381294000007983,55.70029309200004
GEOMETRY-STRESS,True,TABULAR,EXACT,21,21,68,1,SUCCESS,SWITCHBACK-k1-p+20-CCW-g0.100,SWITCHBACK,22,21,27,LONGHOLE_OPEN_STOPING,15,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4580.250704,455.751979,0.1,20.0,5079.770987,0.019357,27,1.0,6.772066,2.48018,0.0,4.291886,38.572026,,83.025778,0,0.0,0.0,2260.313529,184.591008,0.108896,20.0,30.0,77.633978,0.0006412679999812099,0.41784462199984773,72.12147445699998,0.013821374000144715,72.55779572400002
WARPED_VEIN-307,True,WARPED_VEIN,COARSE_CONSERVATIVE,10,9,68,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,44,,10.771055,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,0.004974912000079712,0.3935865850000937,11.91298548299983,,12.315234381999971
ACCESS-INFEASIBLE,True,TABULAR,EXACT,13,13,68,0,NO_FEASIBLE_CANDIDATE,,,0,,,LONGHOLE_OPEN_STOPING,45,,0.0,10.59017,,,,,,,,,,,,,,,,,,,,,,,,,0.0005913060001603299,0.41329289599980257,2.421602835000158,,2.8400226899998415
CUT_AND_FILL,True,TABULAR,EXACT,13,13,68,2,SUCCESS,SPIRAL-n1-CW-e+0-g0.100,SPIRAL,14,13,0,CUT_AND_FILL,45,DEFAULT_6X_TUNNEL_WIDTH,0.0,10.59017,4661.113165,455.751979,0.1,37.04447,6192.258188,0.023187,1,1.0,3.815695,1.845469,0.0,1.970226,47.028309,,50.320196,0,0.0,0.0,794.107285,98.033669,0.058069,18.0,30.0,31.085176,0.0005739529999573278,0.4255365050000819,30.148900396000045,0.010092776999954367,30.59000673000014
IRREGULAR-REACH-EXCEEDED,True,WARPED_VEIN,COARSE_CONSERVATIVE,18,14,68,3,SUCCESS,SPIRAL-n1-CCW-e+0-g0.120,SPIRAL,15,14,0,LONGHOLE_OPEN_STOPING,39,DEFAULT_6X_TUNNEL_WIDTH,10.771055,10.59017,4418.892511,522.012065,0.12,31.456989,6895.483651,0.027235,1,1.0,5.928732,2.315193,0.106638,3.5069,37.467662,42.853189,67.98921,0,0.0,89.426291,759.987466,64.731867,0.073614,18.0,30.0,24.284819,0.008494562999885602,0.41988364899998487,40.21845396599997,0.015458182999964265,40.66762643099992
